City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,shakhun'ya,57.6758,46.6114,14.78,99,78,2.5,RU,1723150749
329,polyarnyy,69.1989,33.4478,13.49,59,22,4.81,RU,1723150751
330,new norfolk,-42.7826,147.0587,6.98,92,68,1.39,AU,1723150752
331,djebeniana,35.035,10.9081,26.59,70,0,2.76,TN,1723150753
332,zhigalovo,54.8097,105.1578,12.7,96,9,0.62,RU,1723150755
333,namibe,-15.1961,12.1522,17.21,79,0,0.72,AO,1723150756
334,bel ombre,-4.6167,55.4167,25.91,83,20,6.17,SC,1723150758
335,galliano,29.4422,-90.2992,36.54,42,0,4.32,US,1723150759
336,galle,6.0367,80.217,28.29,80,100,0.45,LK,1723150760
337,nuku'alofa,-21.1333,-175.2,22.19,68,75,5.66,TO,1723150762
338,crucecita,-28.95,-58.9833,11.32,51,3,5.99,AR,1723150763
339,ringkobing,56.0901,8.244,15.99,88,20,3.09,DK,1723150764
340,cheremushki,52.8356,91.3944,15.77,91,60,1.68,RU,1723150766
341,sangkhla buri,15.1555,98.4536,22.27,100,47,0.53,TH,1723150767
342,maile,-38.9466,-72.3727,8.84,75,62,0.39,CL,1723150768
343,altai,46.3722,96.2583,13.62,55,100,1.68,MN,1723150770
344,troitsko-pechorsk,62.7084,56.1964,12.66,70,98,0.9,RU,1723150771
345,vorgashor,67.5833,63.95,6.22,82,2,3.05,RU,1723150773
346,pangody,65.85,74.4859,10.98,63,100,4.34,RU,1723150774
347,wau,7.7029,27.9953,22.78,79,72,1.21,SS,1723150776
348,masuguru,-11.3667,38.4167,22.46,64,14,2.47,TZ,1723150777
349,itacare,-14.2775,-38.9967,22.4,73,0,2.46,BR,1723150778
350,binji,13.2228,4.9096,28.51,66,97,2.94,NG,1723150780
351,tejen,37.3834,60.5054,32.38,38,0,7.8,TM,1723150781
352,shima,24.4478,117.8111,26.03,85,56,1.14,CN,1723150782
353,talcahuano,-36.7167,-73.1167,12.82,58,0,4.12,CL,1723150651
354,salalah,17.0151,54.0924,23.85,96,100,1.55,OM,1723150785
355,brisas de zicatela,15.8369,-97.0419,29.94,75,100,2.76,MX,1723150786
356,chengzhong,30.95,113.55,27.64,66,40,3.39,CN,1723150787
357,ribas do rio pardo,-20.4431,-53.7592,23.56,63,100,5.8,BR,1723150789
358,korla,41.7597,86.1469,23.03,44,0,1.87,CN,1723150790
359,nizhniye achaluki,43.4028,44.7591,21.57,51,18,1.7,RU,1723150793
360,tamanrasset,22.785,5.5228,31.95,11,40,1.54,DZ,1723150794
361,wynyard,-41.0,145.7167,8.53,91,27,2.59,AU,1723150796
362,apricena,41.7839,15.4437,24.98,73,0,0.94,IT,1723150797
